.model,date,transformed_KWH,.mean
arima001011,2017 Feb,"N(6.2, 0.00011)",6.1973198008387955
arima001011,2017 Mar,"N(6.2, 0.00011)",6.177588810157897
arima001011,2017 Apr,"N(6.2, 0.00011)",6.165378859341872
arima001011,2017 May,"N(6.2, 0.00011)",6.1610795450431795
arima001011,2017 Jun,"N(6.2, 0.00011)",6.190372412304137
arima001011,2017 Jul,"N(6.2, 0.00011)",6.204994926179539
arima001011,2017 Aug,"N(6.2, 0.00011)",6.211020035180411
arima001011,2017 Sep,"N(6.2, 0.00011)",6.1988105196392675
arima001011,2017 Oct,"N(6.2, 0.00011)",6.16520745352805
arima001011,2017 Nov,"N(6.2, 0.00011)",6.161019573646856
arima001011,2017 Dec,"N(6.2, 0.00011)",6.184130186756912
arima001011,2018 Jan,"N(6.2, 0.00012)",6.213529289342957
arima001011,2018 Feb,"N(6.2, 0.00012)",6.198710302889474
arima001011,2018 Mar,"N(6.2, 0.00012)",6.178979312208575
arima001011,2018 Apr,"N(6.2, 0.00012)",6.16676936139255
arima001011,2018 May,"N(6.2, 0.00012)",6.162470047093858
arima001011,2018 Jun,"N(6.2, 0.00012)",6.191762914354815
arima001011,2018 Jul,"N(6.2, 0.00012)",6.2063854282302175
arima001011,2018 Aug,"N(6.2, 0.00012)",6.212410537231089
arima001011,2018 Sep,"N(6.2, 0.00012)",6.200201021689946
arima001011,2018 Oct,"N(6.2, 0.00012)",6.1665979555787285
arima001011,2018 Nov,"N(6.2, 0.00012)",6.162410075697534
arima001011,2018 Dec,"N(6.2, 0.00012)",6.18552068880759
arima100011,2014 Jan,"N(6.2, 8.4e-05)",6.207699247490587
arima100011,2014 Feb,"N(6.2, 9.1e-05)",6.192995841761425
arima100011,2014 Mar,"N(6.2, 9.2e-05)",6.173415530609374
arima100011,2014 Apr,"N(6.2, 9.2e-05)",6.161161164998292
arima100011,2014 May,"N(6.2, 9.2e-05)",6.156786990970915
arima100011,2014 Jun,"N(6.2, 9.2e-05)",6.18599033969294
arima100011,2014 Jul,"N(6.2, 9.2e-05)",6.200772430505593
arima100011,2014 Aug,"N(6.2, 9.2e-05)",6.206785332958864
arima100011,2014 Sep,"N(6.2, 9.2e-05)",6.194717846580333
arima100011,2014 Oct,"N(6.2, 9.2e-05)",6.161171516546543
arima100011,2014 Nov,"N(6.2, 9.2e-05)",6.1567020940102255
arima100011,2014 Dec,"N(6.2, 9.2e-05)",6.179883288360281
arima100011,2015 Jan,"N(6.2, 9.8e-05)",6.209284141325934
arima100011,2015 Feb,"N(6.2, 9.8e-05)",6.194443183758417
arima100011,2015 Mar,"N(6.2, 9.8e-05)",6.174823043311267
arima100011,2015 Apr,"N(6.2, 9.8e-05)",6.162557144791815
arima100011,2015 May,"N(6.2, 9.8e-05)",6.158179631313534
arima100011,2015 Jun,"N(6.2, 9.8e-05)",6.187382013069381
arima100011,2015 Jul,"N(6.2, 9.8e-05)",6.202163823888819
arima100011,2015 Aug,"N(6.2, 9.8e-05)",6.208176645267693
arima100011,2015 Sep,"N(6.2, 9.8e-05)",6.196109135413387
arima100011,2015 Oct,"N(6.2, 9.8e-05)",6.162562798581988
arima100011,2015 Nov,"N(6.2, 9.8e-05)",6.158093374077366
arima100011,2015 Dec,"N(6.2, 9.8e-05)",6.181274567857482
arima100011,2016 Jan,"N(6.2, 1e-04)",6.210675420658106
arima100011,2016 Feb,"N(6.2, 1e-04)",6.195834463042802
arima100011,2016 Mar,"N(6.2, 1e-04)",6.176214322581816
arima100011,2016 Apr,"N(6.2, 1e-04)",6.163948424058357
arima100011,2016 May,"N(6.2, 1e-04)",6.159570910578916
arima100011,2016 Jun,"N(6.2, 1e-04)",6.188773292334426
arima100011,2016 Jul,"N(6.2, 1e-04)",6.203555103153768
arima100011,2016 Aug,"N(6.2, 1e-04)",6.209567924532614
arima100011,2016 Sep,"N(6.2, 1e-04)",6.1975004146782995
arima100011,2016 Oct,"N(6.2, 1e-04)",6.163954077846898
arima100011,2016 Nov,"N(6.2, 1e-04)",6.1594846533422745
arima100011,2016 Dec,"N(6.2, 1e-04)",6.182665847122391
arima100011,2017 Jan,"N(6.2, 0.00011)",6.212066699923015
arima100011,2017 Feb,"N(6.2, 0.00011)",6.197225742307711
arima100011,2017 Mar,"N(6.2, 0.00011)",6.177605601846725
arima100011,2017 Apr,"N(6.2, 0.00011)",6.165339703323266
arima100011,2017 May,"N(6.2, 0.00011)",6.160962189843825
arima100011,2017 Jun,"N(6.2, 0.00011)",6.190164571599335
arima100011,2017 Jul,"N(6.2, 0.00011)",6.204946382418677
arima100011,2017 Aug,"N(6.2, 0.00011)",6.210959203797523
arima100011,2017 Sep,"N(6.2, 0.00011)",6.198891693943208
arima100011,2017 Oct,"N(6.2, 0.00011)",6.165345357111807
arima100011,2017 Nov,"N(6.2, 0.00011)",6.160875932607183
arima100011,2017 Dec,"N(6.2, 0.00011)",6.1840571263873
arima100011,2018 Jan,"N(6.2, 0.00012)",6.213457979187924
arima100011,2018 Feb,"N(6.2, 0.00012)",6.19861702157262
arima100011,2018 Mar,"N(6.2, 0.00012)",6.178996881111634
arima100011,2018 Apr,"N(6.2, 0.00012)",6.166730982588175
arima100011,2018 May,"N(6.2, 0.00012)",6.162353469108734
arima100011,2018 Jun,"N(6.2, 0.00012)",6.191555850864244
arima100011,2018 Jul,"N(6.2, 0.00012)",6.206337661683586
arima100011,2018 Aug,"N(6.2, 0.00012)",6.212350483062432
arima100011,2018 Sep,"N(6.2, 0.00012)",6.200282973208117
arima100011,2018 Oct,"N(6.2, 0.00012)",6.166736636376716
arima100011,2018 Nov,"N(6.2, 0.00012)",6.162267211872092
arima100011,2018 Dec,"N(6.2, 0.00012)",6.185448405652209
arima001110,2014 Jan,"N(6.2, 9.8e-05)",6.21155796696549
arima001110,2014 Feb,"N(6.2, 1e-04)",6.191108301485288
arima001110,2014 Mar,"N(6.2, 1e-04)",6.171581745098573
arima001110,2014 Apr,"N(6.2, 1e-04)",6.161431613276527
arima001110,2014 May,"N(6.2, 1e-04)",6.161957218759647
arima001110,2014 Jun,"N(6.2, 1e-04)",6.192481621563305
arima001110,2014 Jul,"N(6.2, 1e-04)",6.201068184428205
arima001110,2014 Aug,"N(6.2, 1e-04)",6.208582998948359
arima001110,2014 Sep,"N(6.2, 1e-04)",6.1904336043100985
arima001110,2014 Oct,"N(6.2, 1e-04)",6.158463241386684
arima001110,2014 Nov,"N(6.2, 1e-04)",6.1599690155450295
arima001110,2014 Dec,"N(6.2, 1e-04)",6.177094944714618
arima001110,2015 Jan,"N(6.2, 0.00013)",6.217385123001631
arima001110,2015 Feb,"N(6.2, 0.00013)",6.191293935939941
arima001110,2015 Mar,"N(6.2, 0.00013)",6.173243796920357
arima001110,2015 Apr,"N(6.2, 0.00013)",6.164812447200935
arima001110,2015 May,"N(6.2, 0.00013)",6.163674412368954
arima001110,2015 Jun,"N(6.2, 0.00013)",6.1934954410524385
arima001110,2015 Jul,"N(6.2, 0.00013)",6.200785145910023
arima001110,2015 Aug,"N(6.2, 0.00013)",6.208256460099949
arima001110,2015 Sep,"N(6.2, 0.00013)",6.192759693083761
arima001110,2015 Oct,"N(6.2, 0.00013)",6.160323479372783
arima001110,2015 Nov,"N(6.2, 0.00013)",6.161168051702081
arima001110,2015 Dec,"N(6.2, 0.00013)",6.179510488078861
arima001110,2016 Jan,"N(6.2, 0.00019)",6.216543714846695
arima001110,2016 Feb,"N(6.2, 0.00019)",6.193255361698661
arima001110,2016 Mar,"N(6.2, 0.00019)",6.1744717055582905
arima001110,2016 Apr,"N(6.2, 0.00019)",6.165186426504764
arima001110,2016 May,"N(6.2, 0.00019)",6.164874925335367
arima001110,2016 Jun,"N(6.2, 0.00019)",6.195045405990191
arima001110,2016 Jul,"N(6.2, 0.00019)",6.2029794188685115
arima001110,2016 Aug,"N(6.2, 0.00019)",6.210472344993986
arima001110,2016 Sep,"N(6.2, 0.00019)",6.19365769333408
arima001110,2016 Oct,"N(6.2, 0.00019)",6.161452924698199
arima001110,2016 Nov,"N(6.2, 0.00019)",6.162625996862773
arima001110,2016 Dec,"N(6.2, 0.00019)",6.180364045290792
arima001110,2017 Jan,"N(6.2, 0.00023)",6.219015398310779
arima001110,2017 Feb,"N(6.2, 0.00023)",6.194334534678814
arima001110,2017 Mar,"N(6.2, 0.00023)",6.175915306225671
arima001110,2017 Apr,"N(6.2, 0.00023)",6.167054278336113
arima001110,2017 May,"N(6.2, 0.00023)",6.166332136784186
arima001110,2017 Jun,"N(6.2, 0.00023)",6.196329001895346
arima001110,2017 Jul,"N(6.2, 0.00023)",6.203942908159648
arima001110,2017 Aug,"N(6.2, 0.00023)",6.211425096992883
arima001110,2017 Sep,"N(6.2, 0.00023)",6.195265199856264
arima001110,2017 Oct,"N(6.2, 0.00023)",6.162945444138217
arima001110,2017 Nov,"N(6.2, 0.00023)",6.163955310248247
arima001110,2017 Dec,"N(6.2, 0.00023)",6.181993632106994
arima001110,2018 Jan,"N(6.2, 0.00028)",6.219841063867333
arima001110,2018 Feb,"N(6.2, 0.00028)",6.1958520305426905
arima001110,2018 Mar,"N(6.2, 0.00028)",6.177251746275778
arima001110,2018 Apr,"N(6.2, 0.00028)",6.168179940933168
arima001110,2018 May,"N(6.2, 0.00028)",6.167661814694105
arima001110,2018 Jun,"N(6.2, 0.00028)",6.1977449358847085
arima001110,2018 Jul,"N(6.2, 0.00028)",6.205517878263789
arima001110,2018 Aug,"N(6.2, 0.00028)",6.2130054016236045
arima001110,2018 Sep,"N(6.2, 0.00028)",6.196520207817199
arima001110,2018 Oct,"N(6.2, 0.00028)",6.164257580249576
arima001110,2018 Nov,"N(6.2, 0.00028)",6.16534853077238
arima001110,2018 Dec,"N(6.2, 0.00028)",6.183237670084742
arima003110,2014 Jan,"N(6.2, 9.6e-05)",6.212178908311338
arima003110,2014 Feb,"N(6.2, 1e-04)",6.190291846124789
arima003110,2014 Mar,"N(6.2, 1e-04)",6.170509358611803
arima003110,2014 Apr,"N(6.2, 1e-04)",6.1614323211620325
arima003110,2014 May,"N(6.2, 1e-04)",6.16194092804641
arima003110,2014 Jun,"N(6.2, 1e-04)",6.192458143975402
arima003110,2014 Jul,"N(6.2, 1e-04)",6.2010314559177955
arima003110,2014 Aug,"N(6.2, 1e-04)",6.208545825964074
arima003110,2014 Sep,"N(6.2, 1e-04)",6.190423535112703
arima003110,2014 Oct,"N(6.2, 1e-04)",6.15844841225979
arima003110,2014 Nov,"N(6.2, 1e-04)",6.159947430447822
arima003110,2014 Dec,"N(6.2, 1e-04)",6.177085789538527
arima003110,2015 Jan,"N(6.2, 0.00013)",6.217656699101569
arima003110,2015 Feb,"N(6.2, 0.00013)",6.190867259465372
arima003110,2015 Mar,"N(6.2, 0.00013)",6.1726802012771795
arima003110,2015 Apr,"N(6.2, 0.00013)",6.164782789887366
arima003110,2015 May,"N(6.2, 0.00013)",6.163644604152077
arima003110,2015 Jun,"N(6.2, 0.00013)",6.193465569034823
arima003110,2015 Jul,"N(6.2, 0.00013)",6.200755156258708
arima003110,2015 Aug,"N(6.2, 0.00013)",6.208226466502863
arima003110,2015 Sep,"N(6.2, 0.00013)",6.192729940097749
arima003110,2015 Oct,"N(6.2, 0.00013)",6.1602936841309885
arima003110,2015 Nov,"N(6.2, 0.00013)",6.161138196484855
arima003110,2015 Dec,"N(6.2, 0.00013)",6.179480743206979
arima003110,2016 Jan,"N(6.2, 0.00019)",6.216979400729378
arima003110,2016 Feb,"N(6.2, 0.00019)",6.192613207590781
arima003110,2016 Mar,"N(6.2, 0.00019)",6.173637528256383
arima003110,2016 Apr,"N(6.2, 0.00019)",6.165157027386489
arima003110,2016 May,"N(6.2, 0.00019)",6.164832851687936
arima003110,2016 Jun,"N(6.2, 0.00019)",6.1949979736509135
arima003110,2016 Jul,"N(6.2, 0.00019)",6.20292210634992
arima003110,2016 Aug,"N(6.2, 0.00019)",6.210414701065895
arima003110,2016 Sep,"N(6.2, 0.00019)",6.193620258585721
arima003110,2016 Oct,"N(6.2, 0.00019)",6.161411940841697
arima003110,2016 Nov,"N(6.2, 0.00019)",6.162579975606188
arima003110,2016 Dec,"N(6.2, 0.00019)",6.180327292056824
arima003110,2017 Jan,"N(6.2, 0.00023)",6.219344564592795
arima003110,2017 Feb,"N(6.2, 0.00023)",6.193780560055862
arima003110,2017 Mar,"N(6.2, 0.00023)",6.175194696367058
arima003110,2017 Apr,"N(6.2, 0.00023)",6.167002416784673
arima003110,2017 May,"N(6.2, 0.00023)",6.166275875705079
arima003110,2017 Jun,"N(6.2, 0.00023)",6.196270880730334
arima003110,2017 Jul,"N(6.2, 0.00023)",6.203881357429584
arima003110,2017 Aug,"N(6.2, 0.00023)",6.211363431225388
arima003110,2017 Sep,"N(6.2, 0.00023)",6.195210549011712
arima003110,2017 Oct,"N(6.2, 0.00023)",6.1628895613426184
arima003110,2017 Nov,"N(6.2, 0.00023)",6.1638976788921465
arima003110,2017 Dec,"N(6.2, 0.00023)",6.1819392178267645
arima003110,2018 Jan,"N(6.2, 0.00028)",6.2202058385513155
arima003110,2018 Feb,"N(6.2, 0.00028)",6.195233912512134
arima003110,2018 Mar,"N(6.2, 0.00028)",6.176455362844416
arima003110,2018 Apr,"N(6.2, 0.00028)",6.16812061540176
arima003110,2018 May,"N(6.2, 0.00028)",6.167592963638702
arima003110,2018 Jun,"N(6.2, 0.00028)",6.197672057512226
arima003110,2018 Jul,"N(6.2, 0.00028)",6.205437574456881
arima003110,2018 Aug,"N(6.2, 0.00028)",6.2129248487463675
arima003110,2018 Sep,"N(6.2, 0.00028)",6.196454843119662
arima003110,2018 Oct,"N(6.2, 0.00028)",6.164189548224965
arima003110,2018 Nov,"N(6.2, 0.00028)",6.165276712897046
arima003110,2018 Dec,"N(6.2, 0.00028)",6.183172817578356
